label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
5,7,18,80,51,frame_00.png,100,100
5,8,17,78,51,frame_01.png,100,100
5,0,16,75,52,frame_02.png,100,100
5,0,4,72,65,frame_03.png,100,100
5,0,16,72,56,frame_04.png,100,100
5,0,16,75,56,frame_05.png,100,100
5,0,16,75,56,frame_06.png,100,100
5,0,0,82,72,frame_07.png,100,100
5,0,14,80,57,frame_08.png,100,100
5,0,13,76,57,frame_09.png,100,100
5,0,12,75,56,frame_10.png,100,100
5,0,4,79,65,frame_11.png,100,100
5,0,11,78,57,frame_12.png,100,100
5,0,13,79,56,frame_13.png,100,100
5,0,14,78,56,frame_14.png,100,100
